iter	Passed	Remaining
1390	20173	52340
1391	20183	52315
1392	20193	52288
1393	20203	52262
1394	20214	52239
1395	20228	52222
1396	20241	52203
1397	20256	52190
1398	20285	52215
1399	20318	52246
1400	20353	52285
1401	20369	52273
1402	20381	52252
1403	20396	52239
1404	20414	52234
1405	20437	52242
1406	20456	52238
1407	20471	52225
1408	20483	52204
1409	20494	52179
1410	20505	52157
1411	20515	52132
1412	20529	52115
1413	20541	52095
1414	20554	52075
1415	20564	52049
1416	20581	52043
1417	20602	52043
1418	20633	52072
1419	20654	52072
1420	20671	52063
1421	20683	52043
1422	20694	52021
1423	20706	51998
1424	20718	51978
1425	20728	51952
1426	20738	51925
1427	20748	51900
1428	20758	51873
1429	20767	51845
1430	20776	51817
1431	20786	51791
1432	20795	51763
1433	20804	51735
1434	20816	51714
1435	20825	51687
1436	20834	51658
1437	20842	51629
1438	20852	51601
1439	20861	51573
1440	20870	51545
1441	20878	51516
1442	20887	51487
1443	20900	51468
1444	20915	51455
1445	20926	51434
1446	20936	51408
1447	20945	51380
1448	20954	51352
1449	20966	51332
1450	20977	51307
1451	20987	51283
1452	20997	51257
1453	21007	51231
1454	21015	51202
1455	21025	51176
1456	21039	51162
1457	21050	51138
1458	21068	51133
1459	21081	51116
1460	21096	51101
1461	21110	51086
1462	21126	51076
1463	21140	51061
1464	21158	51053
1465	21172	51038
1466	21185	51021
1467	21218	51051
1468	21229	51029
1469	21241	51008
1470	21251	50983
1471	21260	50956
1472	21271	50932
1473	21280	50905
1474	21289	50877
1475	21298	50850
1476	21307	50823
1477	21317	50798
1478	21327	50772
1479	21336	50747
1480	21346	50720
1481	21355	50694
1482	21365	50668
1483	21374	50642
1484	21385	50618
1485	21394	50592
1486	21407	50573
1487	21419	50555
1488	21432	50536
1489	21448	50526
1490	21466	50520
1491	21494	50538
1492	21511	50530
1493	21526	50516
1494	21539	50498
1495	21549	50474
1496	21559	50449
1497	21568	50422
1498	21577	50395
1499	21586	50367
1500	21595	50341
1501	21608	50322
1502	21617	50297
1503	21626	50270
1504	21635	50244
1505	21645	50217
1506	21654	50191
1507	21662	50163
1508	21670	50134
1509	21680	50108
1510	21689	50081
1511	21698	50056
1512	21712	50039
1513	21722	50016
1514	21741	50012
1515	21768	50027
1516	21786	50020
1517	21807	50022
1518	21832	50031
1519	21848	50020
1520	21872	50030
1521	21891	50025
1522	21910	50022
1523	21930	50019
1524	21948	50013
1525	21965	50005
1526	21990	50014
1527	22011	50014
1528	22028	50006
1529	22042	49991
1530	22066	49998
1531	22091	50008
1532	22103	49989
1533	22119	49977
1534	22147	49993
1535	22165	49987
1536	22195	50007
1537	22225	50027
1538	22241	50018
1539	22260	50014
1540	22283	50017
1541	22296	50000
1542	22323	50014
1543	22339	50004
1544	22357	49997
1545	22377	49994
1546	22399	49997
1547	22416	49987
1548	22433	49979
1549	22447	49963
1550	22465	49956
1551	22478	49940
1552	22497	49935
1553	22523	49945
1554	22545	49947
1555	22565	49946
1556	22589	49953
1557	22617	49966
1558	22639	49968
1559	22656	49960
1560	22678	49962
1561	22692	49947
1562	22716	49952
1563	22734	49947
1564	22753	49941
1565	22767	49926
1566	22784	49916
